text,sentiment,clean_text
@united your baggage person told me to go through @AirCanada - they're handling my connecting flight.,negative,your baggage person told me to go through   they re handling my connecting flight 
@USAirways waiting for you to figure it out. This is unacceptable.,negative,waiting for you to figure it out  this is unacceptable 
"@united there was 20 min to departure, no one waiting. On being pressed ground staffer threatened ""do you want to get to SF today"" #fail",negative,there was 20 min to departure  no one waiting  on being pressed ground staffer threatened  do you want to get to sf today   fail
"@AmericanAir yes we did make it home. But by no means am I happy. I've always chosen AA as my 1st choice when flying, I'm rethinking that...",negative,yes we did make it home  but by no means am i happy  i ve always chosen aa as my 1st choice when flying  i m rethinking that   
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",negative,congrats  you just got all my business from ewr to sfo lax  fuck you fl1289 sfo ewr was the clincher   
@united Flight UA1270 is descending into farce and we haven't left EWR yet. Is this going to get any worse?,negative,flight ua1270 is descending into farce and we haven t left ewr yet  is this going to get any worse 
@USAirways who do I contact about my awful experience I had 2/15/15 with @USAirways Flight 713 BUF-CLT?,negative,who do i contact about my awful experience i had 2 15 15 with flight 713 buf clt 
"2/2 @united You don't really care about our comfort, you care about profitability. That's fine, just own up to it. #unfriendlyskies",negative,2 2 you don t really care about our comfort  you care about profitability  that s fine  just own up to it   unfriendlyskies
@SouthwestAir 2 bags fly free!  So what's with all the carry-on's? #packingayak @BrianReganComic,negative,2 bags fly free  so what s with all the carry on s   packingayak
"@united you failed me last week at IAH. Next intl trip on Delta. Small ual flight from lax booked, that's it!",negative,you failed me last week at iah  next intl trip on delta  small ual flight from lax booked  that s it 
@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!,negative,thanks for leaving me hanging here   destinationdragons flights all fucked up now  no help  
"@united Surprised to go from 1K last year to nothing this year. What happened to the ""soft landing"" policy of no more than 1 level?",neutral,surprised to go from 1k last year to nothing this year  what happened to the  soft landing  policy of no more than 1 level 
@AmericanAir hi there flight from Dallas just Cancelled Flightled going to LA. Can u pls help rebook me?,negative,hi there flight from dallas just cancelled flightled going to la  can u pls help rebook me 
@united obviously no one knows a darn thing around here.  What are we to do if this does not get resolved? http://t.co/Ph8QJzaPKx,negative,obviously no one knows a darn thing around here  what are we to do if this does not get resolved 
@AmericanAir still on hold. After you hung up on me the first time (another 45 minutes!) http://t.co/IMRLAu77iH,negative,still on hold  after you hung up on me the first time  another 45 minutes  
@AmericanAir oh it's nothing my issue was already resolved and I am in the air,positive,oh it s nothing my issue was already resolved and i am in the air
@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek,neutral,to start 5xweekly  a319 flights from to  dallas  austin on 28apr  avgeek
@AmericanAir thanks so much!,positive,thanks so much 
@SouthwestAir can y'all develop Ding for a chrome/Firefox browser extension? That would be swell,neutral,can y all develop ding for a chrome firefox browser extension  that would be swell
@united searched for mileage tickets to BOM couldn't find a single one is saver awards - I see how you play.  Earn miles but can't use them.,negative,searched for mileage tickets to bom couldn t find a single one is saver awards   i see how you play  earn miles but can t use them 
"@USAirways 100 feet from the gate at PHL, but no ground crew. You can't make this up.",negative,100 feet from the gate at phl  but no ground crew  you can t make this up 
@SouthwestAir I love ya but your bringin me down. An hour Late Flight leaving and now we've been sitting in the runway for 20 min 😥 #fail,negative,i love ya but your bringin me down  an hour late flight leaving and now we ve been sitting in the runway for 20 min    fail
@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,negative,this isn t a one time thing either  it s a shocking pattern of repeated neglect and disrespect 
"@united worst airline ever! Staff is nasty, wifi down bags are delayed due to weather?? And now the belt is broken. Selling UAL stock in AM",negative,worst airline ever  staff is nasty  wifi down bags are delayed due to weather   and now the belt is broken  selling ual stock in am
@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/FFc13zYGJS,neutral,ceo battles to appease passengers and wall street   waterbury republican american
@united your flights are really cheap what's the catch,neutral,your flights are really cheap what s the catch
@southwestair Your staff was really kind about the flight delay. Luggage? Not at all. Very disappointing.,negative,your staff was really kind about the flight delay  luggage  not at all  very disappointing 
"@JetBlue Usually I have such a great experience with you guys? Very, very unhappy with you right now.",negative,usually i have such a great experience with you guys  very  very unhappy with you right now 
@VirginAmerica check out new music http://t.co/maRcnOCWzn,neutral,check out new music
"@AmericanAir just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service",negative,just cancelled flightled my 7 am flight tomorrow with out informing me at all today  then booked one in 2 days  and no customer service
@USAirways I really appreciate there not being an easy way to get another flight when mine has been delayed over 2hrs for mechanical reasons,negative,i really appreciate there not being an easy way to get another flight when mine has been delayed over 2hrs for mechanical reasons
@SouthwestAir Paid for in flight wifi from Austin to San Diego - wasn't useable. :/ Possible to get a refund? Conf #8X7XVM,negative,paid for in flight wifi from austin to san diego   wasn t useable     possible to get a refund  conf  8x7xvm
"@AmericanAir LTALJX, from DCA to OMA this morning. All of the staff that helped me fix my problem were so helpful. #goodthingscome #thanks",positive,ltaljx  from dca to oma this morning  all of the staff that helped me fix my problem were so helpful   goodthingscome  thanks
@AmericanAir Bad weather is understandable but your own pilot said that over 160 people called out and that ZERO bags are on the plane.,negative,bad weather is understandable but your own pilot said that over 160 people called out and that zero bags are on the plane 
"@USAirways flying from Manchester international to Philadelphia and getting emails about delays, no information about connecting flights..",negative,flying from manchester international to philadelphia and getting emails about delays  no information about connecting flights  
@SouthwestAir waited 34 mins for baggage MDW&gt;MEM and the in-flight service was suspended so no drink 😕,negative,waited 34 mins for baggage mdw gt mem and the in flight service was suspended so no drink  
@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-),neutral, checked in   boardingpass w no checkin bagage  guess i m all set     
@americanair thanks for no fresh food on my cross country flight and for making my connection so close No time to eat. TPA-DFW-LAX,negative,thanks for no fresh food on my cross country flight and for making my connection so close no time to eat  tpa dfw lax
@united can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?,negative,can you ask your guys with flight 1146 to bwi to wait for us to get off a delayed flight from san diego  pretty please 
"@JetBlue Yep, still waiting for bags at #JFK. What's the holdup? Looks like we are the only flight that got in at this time..??",negative,yep  still waiting for bags at  jfk  what s the holdup  looks like we are the only flight that got in at this time    
"@united hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports",negative,hey  it s 4am  guess what i m doing  not sleeping  why  cause you care so little about your customers you let them sleep in airports
@JetBlue thanks but still annoying. Especially if I miss my flight. 😉 Can I tweet at the TSA??,negative,thanks but still annoying  especially if i miss my flight    can i tweet at the tsa  
"@united I'm glad you didn't mean to, but it doesn't excuse your inefficiency! Only took 70min for the bags, we were your only arrival flight",negative,i m glad you didn t mean to  but it doesn t excuse your inefficiency  only took 70min for the bags  we were your only arrival flight
"@united I will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board.",negative,i will be calling customer service  2 delayed flights today now  luggage misplaced  a disaster across the board 
"@JetBlue Gotcha... but ""lessening the delay"" ... that part's not happening, right?",negative,gotcha    but  lessening the delay      that part s not happening  right 
"@united well, considering every agent before claimed they were unable to help with everything else, why waste more time to hear 'call corp'",negative,well  considering every agent before claimed they were unable to help with everything else  why waste more time to hear  call corp 
"@USAirways getting sorted, thanks",positive,getting sorted  thanks
@JetBlue glad you like it. Feel free to steal it.,positive,glad you like it  feel free to steal it 
@JetBlue yup! He said there would be flight change fee. But the plane should be here in 45 minutes apparently.,neutral,yup  he said there would be flight change fee  but the plane should be here in 45 minutes apparently 
@USAirways I do to as I have an afternoon Conference in Las Vegas and I would rather plan ahead than run thru the airport and then attempt,negative,i do to as i have an afternoon conference in las vegas and i would rather plan ahead than run thru the airport and then attempt
@USAirways of course never again tho . Thanks for tweetin ur concern but not Doin anythin to fix what happened. I'll choose wiser next time,negative,of course never again tho   thanks for tweetin ur concern but not doin anythin to fix what happened  i ll choose wiser next time
@AmericanAir you should be contacting her for a refund - dm me and I will provide phone number,neutral,you should be contacting her for a refund   dm me and i will provide phone number
"@americanair hi, you Cancelled Flightled our flight back to the US and now won't take our call. What are we supposed to do?",negative,hi  you cancelled flightled our flight back to the us and now won t take our call  what are we supposed to do 
@USAirways yeah you guys just told me to call the website that I booked from. I booked on your website. UNACCEPTABLE,negative,yeah you guys just told me to call the website that i booked from  i booked on your website  unacceptable
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,positive,you have the absolute best team and customer service ever  every time i fly with you i m delighted  thank you 
@AmericanAir I haven't been rebooked. I called and left my number for a callback but haven't heard anything and my flight is tomorrow. :(,negative,i haven t been rebooked  i called and left my number for a callback but haven t heard anything and my flight is tomorrow    
@USAirways this is crazy. Haven't spoken to a human yet. There has to be a better way. http://t.co/mEOAlCIPdD,negative,this is crazy  haven t spoken to a human yet  there has to be a better way 
@SouthwestAir luxury! Only 40 people on this flight. I'm going to get spoiled.,negative,luxury  only 40 people on this flight  i m going to get spoiled 
@USAirways delays due to refueling are out of your control? If that's true I never want to fly US Airways again,negative,delays due to refueling are out of your control  if that s true i never want to fly us airways again
@SouthwestAir boarded plane only to be told to get off as it wasn't our plane. Now an hour delay. 😭😭,negative,boarded plane only to be told to get off as it wasn t our plane  now an hour delay    
@USAirways am 2. 1/2 hours from airport sure would like to talk to someone,neutral,am 2  1 2 hours from airport sure would like to talk to someone
@SouthwestAir @Imaginedragons please help me and my best friend get tickets to #DestinationDragons we have so much to thank them for....,neutral,please help me and my best friend get tickets to  destinationdragons we have so much to thank them for    
@USAirways I've been waiting for the callback for EIGHT HOURS. HOW MUCH LONGER?!,negative,i ve been waiting for the callback for eight hours  how much longer  
@USAirways One of your workers was very rude with us. We can tell you in DM cuz it won't be any good publicity...,negative,one of your workers was very rude with us  we can tell you in dm cuz it won t be any good publicity   
@USAirways 4 hours... 4 hours... FOUR HOURS.  It's like this is a joke to you.,negative,4 hours    4 hours    four hours  it s like this is a joke to you 
@JetBlue waited for 15 min then got disconnect,negative,waited for 15 min then got disconnect
@AmericanAir no; I just expect a higher level of customer service &amp; for the flight crews to give us accurate information,negative,no  i just expect a higher level of customer service  amp  for the flight crews to give us accurate information
@SouthwestAir when's the next deal going to happen a poor college student is trying to fly to Orlando instead of drive in August! Lol,neutral,when s the next deal going to happen a poor college student is trying to fly to orlando instead of drive in august  lol
"@USAirways stranded @Ernie_Vigil Phoenix w/ broken foot.  Both my flights f'd, Sunday for ""sickcrew"".  Cancelled Flighted my mechanics flight today.",negative,stranded phoenix w  broken foot  both my flights f d  sunday for  sickcrew   cancelled flighted my mechanics flight today 
"@USAirways I’ve been on hold for 36 minutes now, any time you want to answer the phone that would be great.",negative,i ve been on hold for 36 minutes now  any time you want to answer the phone that would be great 
@united now arrives LAX @ 8:03 am,neutral,now arrives lax 8 03 am
@JetBlue Airways Corporation Price Target Update - Stafford Daily http://t.co/vQmdmZaFUJ,neutral,airways corporation price target update   stafford daily
@AmericanAir #AATeam thanks for working in very rigorous weather conditions for all,positive, aateam thanks for working in very rigorous weather conditions for all
@united thx for update,positive,thx for update
@SouthwestAir Have had a companion pass for a few years and my wife and I use it all the time.  Thanks #southwest for making travel easy!,positive,have had a companion pass for a few years and my wife and i use it all the time  thanks  southwest for making travel easy 
@united is the worst airlines sitting on the plane at  Houston-bush airport now for an hour and a half waiting for Late Flight passengers,negative,is the worst airlines sitting on the plane at houston bush airport now for an hour and a half waiting for late flight passengers
@JetBlue he loved the #natural #beefjerky snacks😉,positive,he loved the  natural  beefjerky snacks 
@USAirways pure anarchy on flight 555 to SLC. People walking in with nothing packed in bags with arms full of stuff. #getittogether,negative,pure anarchy on flight 555 to slc  people walking in with nothing packed in bags with arms full of stuff   getittogether
@JetBlue Did you discontinue nonstop service from SJC to BOS? Can't find 471 or 472 anywhere,negative,did you discontinue nonstop service from sjc to bos  can t find 471 or 472 anywhere
@USAirways your flight attendants are all jerks 🐳,negative,your flight attendants are all jerks  
@JetBlue WELL...my paid tickets have NO assigned seats at all. So essentially I won't be on this flight unless I pay more.,negative,well   my paid tickets have no assigned seats at all  so essentially i won t be on this flight unless i pay more 
@USAirways Official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful,negative,official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful
@USAirways - flight was Cancelled Flightled to Buf today. Waited in line for 2+ hrs &amp; cus service was rude. No flight until Tues. Need to get to ROC.,negative,  flight was cancelled flightled to buf today  waited in line for 2  hrs  amp  cus service was rude  no flight until tues  need to get to roc 
"@AmericanAir We did talk with Delta for about hour over phone, and I got a number from Delta that they asked to give to AA, which I did.",neutral,we did talk with delta for about hour over phone  and i got a number from delta that they asked to give to aa  which i did 
"@SouthwestAir I always brag about ur service, but very disappointed today. Apparently I'll be sleeping on floor of Dallas airport tonight 👎",negative,i always brag about ur service  but very disappointed today  apparently i ll be sleeping on floor of dallas airport tonight  
"@united no announcement re extra baggage, ""find an empty bin"" down to aisle 20 back up with baggage to my seat row 7. YOUR agents argueing",negative,no announcement re extra baggage   find an empty bin  down to aisle 20 back up with baggage to my seat row 7  your agents argueing
@SouthwestAir you just Cancelled Flightled my flight home so you better get me a private jet or something. I need to get home now,negative,you just cancelled flightled my flight home so you better get me a private jet or something  i need to get home now
"@united if guy on flight 1230 follows through on threat to sue because he couldn’t carry on 3 bags, I will defend you for free.",negative,if guy on flight 1230 follows through on threat to sue because he couldn t carry on 3 bags  i will defend you for free 
“@JetBlue: Our fleet's on fleek. http://t.co/we7Pf5Ll1Y” lol!!!!!,neutral,  jetblue  our fleet s on fleek  lol     
@united flight was Cancelled Flighted after the last opportunity to rebook us on other flights this evening passed.,negative,flight was cancelled flighted after the last opportunity to rebook us on other flights this evening passed 
@JetBlue im still waiting??? No answer!!,negative,im still waiting    no answer  
@SouthwestAir i just recieved an email from your memphis station hopefully they have my bag.,negative,i just recieved an email from your memphis station hopefully they have my bag 
@AmericanAir I understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding? smh come on...,negative,i understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding  smh come on   
@SouthwestAir how many left?! I'm 15 min wway,neutral,how many left   i m 15 min wway
"@united thanks, that would be awesome.",positive,thanks  that would be awesome 
@SouthwestAir seems like you could make more money by opening up seats on a more desirable flight.,neutral,seems like you could make more money by opening up seats on a more desirable flight 
@VirginAmerica i would like help with some flights please.,neutral,i would like help with some flights please 
@AmericanAir yikes.,neutral,yikes 
@USAirways Really hoping I don't get charged for this flight because they couldn't handle the influx of calls. Bummer.,negative,really hoping i don t get charged for this flight because they couldn t handle the influx of calls  bummer 
@JetBlue waiting for a flight to FL for 1/2 marathon tmrw 4 charity. U bumped us 2a Late Flightr flight &amp; then Cancelled FlightLED IT. How can you fix this?,negative,waiting for a flight to fl for 1 2 marathon tmrw 4 charity  u bumped us 2a late flightr flight  amp  then cancelled flightled it  how can you fix this 
@USAirways connection made. Thanks again this week. #daddyshome,positive,connection made  thanks again this week   daddyshome
@usairways hopefully your crappy service improves as u become @americanairlines #angryairtravel #winterstorm,negative,hopefully your crappy service improves as u become  angryairtravel  winterstorm
@SouthwestAir too long to wait for bags when they could have been on the next flight out. The party of 4 could have waited in Albany,negative,too long to wait for bags when they could have been on the next flight out  the party of 4 could have waited in albany
@USAirways Your customer service line keeps telling me call back Late Flightr and disconnects. How can I talk to someone about my flight?,negative,your customer service line keeps telling me call back late flightr and disconnects  how can i talk to someone about my flight 
@SouthwestAir An Oscar-worthy entrance into LA. http://t.co/10tmtHVFDC,neutral,an oscar worthy entrance into la 
@united Thank you for the new Club at O'Hare. Very comfortable. You made the difficult weather days proficient and enjoyable.,positive,thank you for the new club at o hare  very comfortable  you made the difficult weather days proficient and enjoyable 
@united  No first class passenger should have to pay for inflight wifi.,negative,no first class passenger should have to pay for inflight wifi 
"Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united",negative,wanted to get my bag benefit  but instead get  25 pricing on all three tickets  when adding a card  mp visa is only option 
@AmericanAir not sure why we are being made to stand in line outside for plane that isn't ready to board when I could be sitting inside,negative,not sure why we are being made to stand in line outside for plane that isn t ready to board when i could be sitting inside
"@JetBlue I'd go back to Haiti to deliver shoes, books&amp;medicine to kids I met in orphanage last year. #flyingitforward http://t.co/pGoeUXnsPI",neutral,i d go back to haiti to deliver shoes  books amp medicine to kids i met in orphanage last year   flyingitforward
@JetBlue it's been a while since I've angry tweeted an airline. Apparently you read my mind before I could bitch. Thank you for the credit.,positive,it s been a while since i ve angry tweeted an airline  apparently you read my mind before i could bitch  thank you for the credit 
@united I am - thank you!,positive,i am   thank you 
@united I paid for economy plus and you put me in the last boarding group so I have to gate check my bags too? @VirginAmerica knows better..,negative,i paid for economy plus and you put me in the last boarding group so i have to gate check my bags too  knows better  
@JetBlue sure thing!,neutral,sure thing 
@united the supervisor on situation- Stacey took all our details-no claim number given to us,negative,the supervisor on situation  stacey took all our details no claim number given to us
@AmericanAir on hold again....estimated 2 hr hold,negative,on hold again    estimated 2 hr hold
@SouthwestAir @Vindictive_tK Larry David works for southwest?,neutral,larry david works for southwest 
@JetBlue Airways Sees Significant Decline in Short Interest (JBLU) - WKRB News http://t.co/lZFGUTxIYN,neutral,airways sees significant decline in short interest  jblu    wkrb news
@JetBlue Please come to Indianapolis!,positive,please come to indianapolis 
@SouthwestAir why have you guys jacked up the prices AFTER you said prices were going to be lowered? SMH,negative,why have you guys jacked up the prices after you said prices were going to be lowered  smh
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive,done and done  best airline around  hands down 
@united kind of unnerving to watch the guy deicing your plane text on his phone the whole time http://t.co/QdXfT9qqT9,negative,kind of unnerving to watch the guy deicing your plane text on his phone the whole time
"@AmericanAir Cool, a canned response. Nah, I think I'll keep tweeting at everyone who mentions AA on Twitter. You could DM me, though.",negative,cool  a canned response  nah  i think i ll keep tweeting at everyone who mentions aa on twitter  you could dm me  though 
@USAirways I tried to call your customer service line only to be kept in a que for over 45 mins...... please hold =we don't care,negative,i tried to call your customer service line only to be kept in a que for over 45 mins       please hold  we don t care
@united  flight 441 on 2/4 was delayed over three hours because the pilot never showed up!,negative,flight 441 on 2 4 was delayed over three hours because the pilot never showed up 
@united On flight 1712 to Houston delayed duecto engine trouble. Willl you hold my connection to Argentina at Houston since I'm Late Flight now?,negative,on flight 1712 to houston delayed duecto engine trouble  willl you hold my connection to argentina at houston since i m late flight now 
@AmericanAir why was my flight from Miami to Dallas Monday  rescheduled to Tuesday?,negative,why was my flight from miami to dallas monday rescheduled to tuesday 
@united I see you tweeting as little as 7 min ago. Are you just ignoring my CS request? #CantLogOutOfUnitedWifi,negative,i see you tweeting as little as 7 min ago  are you just ignoring my cs request   cantlogoutofunitedwifi
@AmericanAir Again you guys are a huge joke and Cancelled Flight your flight for no reason. This is the 3rd time in one trip for me that you have,negative,again you guys are a huge joke and cancelled flight your flight for no reason  this is the 3rd time in one trip for me that you have
"@JetBlue - Yes. Best case scenario I get my gear Late Flight Friday, early Saturday. Camp starts at 6AM tomorrow #toolittletooLate Flight",negative,  yes  best case scenario i get my gear late flight friday  early saturday  camp starts at 6am tomorrow  toolittletoolate flight
@VirginAmerica Man of steel flies to more cities though...and with more frequency too.,negative,man of steel flies to more cities though   and with more frequency too 
@SouthwestAir Flight Cancelled Flightled out of BNA.... Do I have to reschedule now or can travel funds be put back into my account for future use?,negative,flight cancelled flightled out of bna     do i have to reschedule now or can travel funds be put back into my account for future use 
@SouthwestAir Are you announcing any more winners to the #DestinationDragons @Imaginedragons  show @VelourLive in UTAH this weekend? #Lucky,neutral,are you announcing any more winners to the  destinationdragons show in utah this weekend   lucky
@USAirways 603 &amp; 2705 DFW to PSP thank you!,positive,603  amp  2705 dfw to psp thank you 
@USAirways still waiting on your reps to show. Now 40 mins into waiting in below freezing weather waiting for a cab.,negative,still waiting on your reps to show  now 40 mins into waiting in below freezing weather waiting for a cab 
@AmericanAir that all AA is for USAir Elite members. It's one big disappointment in the way we are treated. #epicfailure,negative,that all aa is for usair elite members  it s one big disappointment in the way we are treated   epicfailure
@southwestair #ftw! ✈️ Hope they'll sing us a song on our flight to Phoenix today. (@ Terminal 2 (Humphrey)) https://t.co/mAvIgetbBw,neutral, ftw     hope they ll sing us a song on our flight to phoenix today     terminal 2  humphrey  
Thanks @united. @imran_r44 had a question about the wait time for baggage on UA6366,neutral,thanks had a question about the wait time for baggage on ua6366
@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?,neutral,your announcement for pre boarding only addresses mobility  my disability requires me to travel with a lot of stuff  do i preboard 
Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united,neutral,flight booking problems for a travel writers trip i am hosting and need to be happy when i land  do you have the cute pjs aa does 
@AmericanAir it's not a friend it's a legally required chaperone on a school trip.,negative,it s not a friend it s a legally required chaperone on a school trip 
@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?,neutral,can someone please explain the process of of what happens to property found on a plane after passengers leave at heathrow  
"@united thanks. Weather is understandable, but when every single domestic flight is delayed because of inbound int'l flights, it's crazy",negative,thanks  weather is understandable  but when every single domestic flight is delayed because of inbound int l flights  it s crazy
@SouthwestAir I knew I was correct! http://t.co/9eueYxAwcv,neutral,i knew i was correct 
@AmericanAir I fly weekly with you and haven't seen one,negative,i fly weekly with you and haven t seen one
@AmericanAir ...2/2 doesn't help me.,negative,   2 2 doesn t help me 
@SouthwestAir you are a bunch of liars! Cancelled Flightled our flight and rebooked us four days Late Flightr!,negative,you are a bunch of liars  cancelled flightled our flight and rebooked us four days late flightr 
"@AmericanAir @loganex except if you call now you'll get the same message. Trust me, I've tried.",negative,except if you call now you ll get the same message  trust me  i ve tried 
"@SouthwestAir AH - did DM, no reply. On hold now over 2hrs. Just spent over $1k to get a United flight tmrw to get home. #lame",negative,ah   did dm  no reply  on hold now over 2hrs  just spent over  1k to get a united flight tmrw to get home   lame
@JetBlue Gotcha... thanks for the update. I'm ready to go whenever you are :) Enjoy your evening.,positive,gotcha    thanks for the update  i m ready to go whenever you are    enjoy your evening 
"@JetBlue they absolutely guaranteed us we would sit with our kids. Your ""terms"" response is insulting.  #jetblue",negative,they absolutely guaranteed us we would sit with our kids  your  terms  response is insulting   jetblue
"@JetBlue Not trying to make you look bad, on your website it says: ""Due to weather in the Charleston, NC"" Its actually in SC, not NC",positive,not trying to make you look bad  on your website it says   due to weather in the charleston  nc  its actually in sc  not nc
@united my flight was supposed to depart to Boston at 4:36 and now it's departing at 6:30 due to issues with finding a pilot. Thanks a lot!!,negative,my flight was supposed to depart to boston at 4 36 and now it s departing at 6 30 due to issues with finding a pilot  thanks a lot  
@JetBlue what is going on with your BDL to DCA flights yesterday and today?! Why is every single one getting delayed?,negative,what is going on with your bdl to dca flights yesterday and today   why is every single one getting delayed 
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative,awaiting my return phone call  just would prefer to use your online self service option   
@united received hotel but no food.  Also email for 3750 miles.  Last trip had 3 hr delay and 5000 miles - so less for Cancelled Flightlation?,negative,received hotel but no food  also email for 3750 miles  last trip had 3 hr delay and 5000 miles   so less for cancelled flightlation 
@SouthwestAir could you please tell me if there is a way to add a RR# to a flight that already took place?,neutral,could you please tell me if there is a way to add a rr  to a flight that already took place 
@united how about starting without the robotic response?,negative,how about starting without the robotic response 
@JetBlue it says it is now 9:58 you owe me,negative,it says it is now 9 58 you owe me
@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab,negative,i am trying to book awards for september and need flights on but they will not show even w  many award seats availab
“@united: Looking for a reason to travel? #quote http://t.co/GGuIg3t28z”,positive,  united  looking for a reason to travel   quote
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,negative,how do i reschedule my cancelled flightled flights online  the change button is greyed out 
@united can you assist with current flight status for flt# 1016 out of DFW tomorrow at 6:55am?,neutral,can you assist with current flight status for flt  1016 out of dfw tomorrow at 6 55am 
@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.,positive,thanks  just a program comment  the system assigned seats behind each other even though pairs were available  i changed it back 
@united might possibly have the worst service on the planet.,negative,might possibly have the worst service on the planet 
@united so you are saying that customer care does not report to anyone? Their response is humiliating for a company that serves the public.,negative,so you are saying that customer care does not report to anyone  their response is humiliating for a company that serves the public 
"@SouthwestAir sure, please follow me so I can do so?",neutral,sure  please follow me so i can do so 
@JetBlue disappointed with the missed connection from ROC to SLC and no reimbursement even tho friend who is a pilot said it was due to ATC,negative,disappointed with the missed connection from roc to slc and no reimbursement even tho friend who is a pilot said it was due to atc
@AmericanAir @jokerunning this happened to me too!!!,neutral,this happened to me too   
@USAirways pilot for flight 729 didn't show until after departure ⌚️ &amp; now there's a broken computer. Next time flying @United. #ALWAYSLate Flight,negative,pilot for flight 729 didn t show until after departure     amp  now there s a broken computer  next time flying  alwayslate flight
"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!",negative,flight from vegas to houston cancelled flighted this morning  due to operation  what does this mean      thank god i woke up early today 
@AmericanAir what are my chances of making a connection to El Paso (AA504) with DFW from SAT (AA200) delayed 30 minutes?,negative,what are my chances of making a connection to el paso  aa504  with dfw from sat  aa200  delayed 30 minutes 
@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!,negative,computers are down but you stopped giving updates and took my flight info off the app  that s just ridiculous keep people updated 
"@AmericanAir nothing to do with Mother Nature, more like poor commutation.",negative,nothing to do with mother nature  more like poor commutation 
@USAirways we did. It added about seven hours to our day... So far... Want to take odds on our bags being on the carousel in KC? #notcool,negative,we did  it added about seven hours to our day    so far    want to take odds on our bags being on the carousel in kc   notcool
@SouthwestAir sat on a plane for 2+ hrs on 2/15! Then we finally took off.. :(,negative,sat on a plane for 2  hrs on 2 15  then we finally took off     
"@USAirways. I'm delayed in Cha, will miss my connection in Charlotte for lga.  Not good",negative,i m delayed in cha  will miss my connection in charlotte for lga  not good
@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir,negative,good care of their customers if anything happen to then take you for getting me back to nyc    screw you
@united I wanna be grand staff,positive,i wanna be grand staff
"Just in case you needed confirmation that ""on fleek"" is dead &amp; gone. RT @JetBlue: Our fleet's on fleek. http://t.co/G4O6yX7TMJ",negative,just in case you needed confirmation that  on fleek  is dead  amp  gone  rt our fleet s on fleek 
@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons,positive,this is unbelievable    thank you so much   destinationdragons
@JetBlue whats going on with flight 2034.  Delayed beyond 834.  Shouldnt thre flights switch at that point?,negative,whats going on with flight 2034  delayed beyond 834  shouldnt thre flights switch at that point 
@united of course. But interesting how United doesn't seem to have a good sense on what's happening with flight,negative,of course  but interesting how united doesn t seem to have a good sense on what s happening with flight
@united I think DM would be better,negative,i think dm would be better
@southwestair on flight 3130 and I paid $8 for wifi that can't load a website functionally except for your own live streaming. Unacceptable.,negative,on flight 3130 and i paid  8 for wifi that can t load a website functionally except for your own live streaming  unacceptable 
"@united after 2 days - 1 flight Cancelled Flightled, another delay for 8 hours- united gave me a $7 food voucher. That's how much they value my time??",negative,after 2 days   1 flight cancelled flightled  another delay for 8 hours  united gave me a  7 food voucher  that s how much they value my time  
@usairways would it kill you to let me put my tsaprecheck number on my reservation?,negative,would it kill you to let me put my tsaprecheck number on my reservation 
"@SouthwestAir i live in the southwest, Imagine Dragons is my favorite band, and i met my 2bestfriends thanks to them. it would be amazing +",positive,i live in the southwest  imagine dragons is my favorite band  and i met my 2bestfriends thanks to them  it would be amazing  
